City,State,restaurantCount
Rochester,New_York_(state),5
Yonkers,New_York_(state),5
Forest Hills,New_York_(state),4
Poughkeepsie,New_York_(state),4
Tonawanda,New_York_(state),4
Farmingdale,New_York_(state),3
Garden City,New_York_(state),3
Hicksville,New_York_(state),3
Ithaca,New_York_(state),3
Jackson Heights,New_York_(state),3
Merrick,New_York_(state),3
Ozone Park,New_York_(state),3
Rome,New_York_(state),3
Babylon,New_York_(state),2
Bayside,New_York_(state),2
Brentwood,New_York_(state),2
Brewster,New_York_(state),2
Deer Park,New_York_(state),2
Depew,New_York_(state),2
Dobbs Ferry,New_York_(state),2
Endicott,New_York_(state),2
Floral Park,New_York_(state),2
Guilderland,New_York_(state),2
Horseheads,New_York_(state),2
Jamaica,New_York_(state),2
Kingston,New_York_(state),2
Lindenhurst,New_York_(state),2
Lockport,New_York_(state),2
Maspeth,New_York_(state),2
Melville,New_York_(state),2
New City,New_York_(state),2
Plainview,New_York_(state),2
Pleasantville,New_York_(state),2
Rockville Centre,New_York_(state),2
Rye,New_York_(state),2
Saratoga Springs,New_York_(state),2
Scarsdale,New_York_(state),2
Seaford,New_York_(state),2
Smithtown,New_York_(state),2
Thornwood,New_York_(state),2
Utica,New_York_(state),2
West Islip,New_York_(state),2
Albertson,New_York_(state),1
Amityville,New_York_(state),1
Armonk,New_York_(state),1
Avon,New_York_(state),1
Baldwin Place,New_York_(state),1
Baldwinsville,New_York_(state),1
Bay Shore,New_York_(state),1
Bayport,New_York_(state),1
Bellmore,New_York_(state),1
Bethpage,New_York_(state),1
Canandaigua,New_York_(state),1
Carle Place,New_York_(state),1
Central Valley,New_York_(state),1
Chappaqua,New_York_(state),1
Clarence Center,New_York_(state),1
Copiague,New_York_(state),1
Corning,New_York_(state),1
Cortland,New_York_(state),1
East Islip,New_York_(state),1
East Meadow,New_York_(state),1
East Northport,New_York_(state),1
East Rochester,New_York_(state),1
East Syracuse,New_York_(state),1
Elmont,New_York_(state),1
Fairport,New_York_(state),1
Far Rockaway,New_York_(state),1
Farmington,New_York_(state),1
Franklin Square,New_York_(state),1
Fresh Meadows,New_York_(state),1
Glen Cove,New_York_(state),1
Greenwood Lake,New_York_(state),1
Hamburg,New_York_(state),1
Henrietta,New_York_(state),1
Hewlett,New_York_(state),1
Highland,New_York_(state),1
Howard Beach,New_York_(state),1
Hudson,New_York_(state),1
Hyde Park,New_York_(state),1
Island Park,New_York_(state),1
Islip,New_York_(state),1
Islip Terrace,New_York_(state),1
Jamestown,New_York_(state),1
Jericho,New_York_(state),1
Kew Gardens,New_York_(state),1
Lake Katrine,New_York_(state),1
Lakeville,New_York_(state),1
Lewiston,New_York_(state),1
Little Neck,New_York_(state),1
Long Beach,New_York_(state),1
Mamaroneck,New_York_(state),1
Massapequa,New_York_(state),1
Middle Village,New_York_(state),1
Millwood,New_York_(state),1
Monroe,New_York_(state),1
Montauk,New_York_(state),1
Mount Vernon,New_York_(state),1
Nesconset,New_York_(state),1
New Hyde Park,New_York_(state),1
New Paltz,New_York_(state),1
New Rochelle,New_York_(state),1
Newfane,New_York_(state),1
North Babylon,New_York_(state),1
North Tonawanda,New_York_(state),1
Northport,New_York_(state),1
Nyack,New_York_(state),1
Oakdale,New_York_(state),1
Oneida,New_York_(state),1
Oneonta,New_York_(state),1
Ossining,New_York_(state),1
Oyster Bay,New_York_(state),1
Patchogue,New_York_(state),1
Phoenicia,New_York_(state),1
Piermont,New_York_(state),1
Plattsburgh,New_York_(state),1
Pomona,New_York_(state),1
Port Chester,New_York_(state),1
Port Jefferson,New_York_(state),1
Port Washington,New_York_(state),1
Red Hook,New_York_(state),1
Rhinebeck,New_York_(state),1
Rockaway Park,New_York_(state),1
Roslyn Heights,New_York_(state),1
Schenectady,New_York_(state),1
Seneca Falls,New_York_(state),1
Sherrill,New_York_(state),1
Shirley,New_York_(state),1
Shrub Oak,New_York_(state),1
Sound Beach,New_York_(state),1
Suffern,New_York_(state),1
Sunnyside,New_York_(state),1
Syosset,New_York_(state),1
Tarrytown,New_York_(state),1
Troy,New_York_(state),1
Tuckahoe,New_York_(state),1
Valhalla,New_York_(state),1
Valley Cottage,New_York_(state),1
Wantagh,New_York_(state),1
Washingtonville,New_York_(state),1
West Babylon,New_York_(state),1
White Plains,New_York_(state),1
Whitestone,New_York_(state),1
Woodbury,New_York_(state),1
Woodhaven,New_York_(state),1
Woodside,New_York_(state),1
Charlotte,North_Carolina,18
Durham,North_Carolina,5
Raleigh,North_Carolina,5
Greensboro,North_Carolina,4
Cary,North_Carolina,3
Concord,North_Carolina,2
Cornelius,North_Carolina,2
Hendersonville,North_Carolina,2
Morrisville,North_Carolina,2
Wake Forest,North_Carolina,2
Wilmington,North_Carolina,2
Apex,North_Carolina,1
Black Mountain,North_Carolina,1
Boone,North_Carolina,1
Burlington,North_Carolina,1
Corolla,North_Carolina,1
Davidson,North_Carolina,1
Fayetteville,North_Carolina,1
Goldsboro,North_Carolina,1
Harrisburg,North_Carolina,1
High Point,North_Carolina,1
Indian Trail,North_Carolina,1
Jacksonville,North_Carolina,1
Kill Devil Hills,North_Carolina,1
Madison,North_Carolina,1
Matthews,North_Carolina,1
Mebane,North_Carolina,1
Mocksville,North_Carolina,1
Newton,North_Carolina,1
North Wilkesboro,North_Carolina,1
Oak Ridge,North_Carolina,1
Southport,North_Carolina,1
Spruce Pine,North_Carolina,1
Winston-Salem,North_Carolina,1
Grand Forks,North_Dakota,1
Columbus,Ohio,13
Cincinnati,Ohio,12
Cleveland,Ohio,11
Akron,Ohio,5
Dayton,Ohio,5
Toledo,Ohio,5
Youngstown,Ohio,3
Fairfield,Ohio,2
Kent,Ohio,2
Middletown,Ohio,2
Oxford,Ohio,2
Waynesville,Ohio,2
Amelia,Ohio,1
Amherst,Ohio,1
Ashland,Ohio,1
Aurora,Ohio,1
Bowling Green,Ohio,1
Brunswick,Ohio,1
Bucyrus,Ohio,1
Cadiz,Ohio,1
Cambridge,Ohio,1
Circleville,Ohio,1
Findlay,Ohio,1
Franklin,Ohio,1
Grove City,Ohio,1
Johnstown,Ohio,1
Lebanon,Ohio,1
Lewis Center,Ohio,1
Lima,Ohio,1
Loveland,Ohio,1
Macedonia,Ohio,1
Mentor,Ohio,1
Mount Orab,Ohio,1
Newark,Ohio,1
North Bend,Ohio,1
Olmsted Falls,Ohio,1
Pataskala,Ohio,1
Pickerington,Ohio,1
Ravenna,Ohio,1
Springboro,Ohio,1
Sunbury,Ohio,1
Tiffin,Ohio,1
Trenton,Ohio,1
West Chester,Ohio,1
Westerville,Ohio,1
Wickliffe,Ohio,1
Wooster,Ohio,1
Oklahoma City,Oklahoma,5
Tulsa,Oklahoma,3
Bartlesville,Oklahoma,1
Broken Arrow,Oklahoma,1
Edmond,Oklahoma,1
Sand Springs,Oklahoma,1
Portland,Oregon,12
Eugene,Oregon,5
Beaverton,Oregon,2
Oregon City,Oregon,2
Albany,Oregon,1
Ashland,Oregon,1
Bend,Oregon,1
Eagle Point,Oregon,1
Gresham,Oregon,1
Hillsboro,Oregon,1
Newberg,Oregon,1
Salem,Oregon,1
Sandy,Oregon,1
Seaside,Oregon,1
Springfield,Oregon,1
Waldport,Oregon,1
Philadelphia,Pennsylvania,35
Pittsburgh,Pennsylvania,15
Harrisburg,Pennsylvania,6
Irwin,Pennsylvania,4
Scranton,Pennsylvania,4
Bethlehem,Pennsylvania,3
Doylestown,Pennsylvania,3
Glenside,Pennsylvania,3
Phoenixville,Pennsylvania,3
Ambler,Pennsylvania,2
Ardmore,Pennsylvania,2
Avondale,Pennsylvania,2
Bensalem,Pennsylvania,2
Broomall,Pennsylvania,2
Drexel Hill,Pennsylvania,2
Fairless Hills,Pennsylvania,2
Horsham,Pennsylvania,2
Lancaster,Pennsylvania,2
Lansdale,Pennsylvania,2
McKeesport,Pennsylvania,2
Mechanicsburg,Pennsylvania,2
Morrisville,Pennsylvania,2
Norristown,Pennsylvania,2
Oxford,Pennsylvania,2
Pottstown,Pennsylvania,2
Reading,Pennsylvania,2
Southampton,Pennsylvania,2
West Chester,Pennsylvania,2
York,Pennsylvania,2
Abington,Pennsylvania,1
Allentown,Pennsylvania,1
Allison Park,Pennsylvania,1
Altoona,Pennsylvania,1
Bakerstown,Pennsylvania,1
Belle Vernon,Pennsylvania,1
Bloomsburg,Pennsylvania,1
Brodheadsville,Pennsylvania,1
Camp Hill,Pennsylvania,1
Canonsburg,Pennsylvania,1
Carlisle,Pennsylvania,1
Cherryville,Pennsylvania,1
Cheswick,Pennsylvania,1
Clarks Summit,Pennsylvania,1
Coatesville,Pennsylvania,1
Collegeville,Pennsylvania,1
Conshohocken,Pennsylvania,1
Coopersburg,Pennsylvania,1
Coraopolis,Pennsylvania,1
Cranberry Township,Pennsylvania,1
Dresher,Pennsylvania,1
Easton,Pennsylvania,1
Enola,Pennsylvania,1
Erie,Pennsylvania,1
Exton,Pennsylvania,1
Fort Washington,Pennsylvania,1
Glen Mills,Pennsylvania,1
Greencastle,Pennsylvania,1
Greensburg,Pennsylvania,1
Hatboro,Pennsylvania,1
Havertown,Pennsylvania,1
Hershey,Pennsylvania,1
Jamison,Pennsylvania,1
King of Prussia,Pennsylvania,1
Kittanning,Pennsylvania,1
Lansdowne,Pennsylvania,1
Latrobe,Pennsylvania,1
Leola,Pennsylvania,1
Levittown,Pennsylvania,1
Malvern,Pennsylvania,1
Media,Pennsylvania,1
Mercersburg,Pennsylvania,1
Mount Gretna,Pennsylvania,1
Mount Joy,Pennsylvania,1
Narberth,Pennsylvania,1
New Hope,Pennsylvania,1
Newtown,Pennsylvania,1
North Wales,Pennsylvania,1
Northampton,Pennsylvania,1
Oakmont,Pennsylvania,1
Palmerton,Pennsylvania,1
Pennsburg,Pennsylvania,1
Quakertown,Pennsylvania,1
Quentin,Pennsylvania,1
Royersford,Pennsylvania,1
Selinsgrove,Pennsylvania,1
Swarthmore,Pennsylvania,1
Thorndale,Pennsylvania,1
Trexlertown,Pennsylvania,1
Warminster,Pennsylvania,1
Warrington,Pennsylvania,1
Washington Crossing,Pennsylvania,1
Wayne,Pennsylvania,1
Wellsboro,Pennsylvania,1
Wexford,Pennsylvania,1
Willow Grove,Pennsylvania,1
Wyncote,Pennsylvania,1
Charleston,South_Carolina,5
Hilton Head Island,South_Carolina,3
Myrtle Beach,South_Carolina,3
Greenville,South_Carolina,2
York,South_Carolina,2
Anderson,South_Carolina,1
Beaufort,South_Carolina,1
Clemson,South_Carolina,1
Columbia,South_Carolina,1
Inman,South_Carolina,1
Isle of Palms,South_Carolina,1
Lancaster,South_Carolina,1
Lexington,South_Carolina,1
Mount Pleasant,South_Carolina,1
North Myrtle Beach,South_Carolina,1
Simpsonville,South_Carolina,1
Spartanburg,South_Carolina,1
Swansea,South_Carolina,1
Rapid City,South_Dakota,1
Sioux Falls,South_Dakota,1
Knoxville,Tennessee,4
Nashville,Tennessee,4
Chattanooga,Tennessee,3
Brentwood,Tennessee,2
Cleveland,Tennessee,2
Franklin,Tennessee,2
Clarksville,Tennessee,1
Elizabethton,Tennessee,1
Gatlinburg,Tennessee,1
Goodlettsville,Tennessee,1
Hermitage,Tennessee,1
Jefferson City,Tennessee,1
La Vergne,Tennessee,1
Lebanon,Tennessee,1
Memphis,Tennessee,1
Ooltewah,Tennessee,1
Austin,Texas,19
Houston,Texas,16
Dallas,Texas,15
San Antonio,Texas,12
Fort Worth,Texas,6
Spring,Texas,5
El Paso,Texas,4
Plano,Texas,4
Cedar Park,Texas,3
Flower Mound,Texas,3
Keller,Texas,3
Arlington,Texas,2
Carrollton,Texas,2
Corpus Christi,Texas,2
Frisco,Texas,2
McKinney,Texas,2
Mesquite,Texas,2
Richardson,Texas,2
Sugar Land,Texas,2
Abilene,Texas,1
Aledo,Texas,1
Allen,Texas,1
Amarillo,Texas,1
Beaumont,Texas,1
Bryan,Texas,1
Cibolo,Texas,1
Clute,Texas,1
Cypress,Texas,1
Friendswood,Texas,1
Grapevine,Texas,1
Irving,Texas,1
Katy,Texas,1
Kingwood,Texas,1
Lewisville,Texas,1
Lubbock,Texas,1
Marshall,Texas,1
McAllen,Texas,1
Missouri City,Texas,1
Montgomery,Texas,1
Nacogdoches,Texas,1
Odessa,Texas,1
Palestine,Texas,1
Pearland,Texas,1
Pflugerville,Texas,1
Round Rock,Texas,1
San Marcos,Texas,1
Schertz,Texas,1
Seabrook,Texas,1
Sulphur Springs,Texas,1
Tyler,Texas,1
Weatherford,Texas,1
Wylie,Texas,1
Syracuse,Utah,8
Salt Lake City,Utah,5
Park City,Utah,2
Midvale,Utah,1
Provo,Utah,1
Riverton,Utah,1
Sandy,Utah,1
South Jordan,Utah,1
Tooele,Utah,1
West Jordan,Utah,1
West Valley City,Utah,1
Virginia Beach,Virginia,8
Alexandria,Virginia,7
Arlington,Virginia,5
Richmond,Virginia,5
Gainesville,Virginia,3
Henrico,Virginia,3
Madison Heights,Virginia,3
Norfolk,Virginia,3
Midlothian,Virginia,2
Abingdon,Virginia,1
Annandale,Virginia,1
Ashland,Virginia,1
Blackstone,Virginia,1
Bristow,Virginia,1
Chantilly,Virginia,1
Charlottesville,Virginia,1
Chesapeake,Virginia,1
Chincoteague Island,Virginia,1
Glen Allen,Virginia,1
Hampton,Virginia,1
Harrisonburg,Virginia,1
Hayes,Virginia,1
Herndon,Virginia,1
Leesburg,Virginia,1
Petersburg,Virginia,1
Portsmouth,Virginia,1
Roanoke,Virginia,1
Springfield,Virginia,1
Vinton,Virginia,1
Winchester,Virginia,1
Woodbridge,Virginia,1
Seattle,Washington_(state),17
Vancouver,Washington_(state),5
Spokane,Washington_(state),4
Puyallup,Washington_(state),3
Tacoma,Washington_(state),3
Bothell,Washington_(state),2
Everett,Washington_(state),2
Lynnwood,Washington_(state),2
Olympia,Washington_(state),2
Yelm,Washington_(state),2
Bellevue,Washington_(state),1
Duvall,Washington_(state),1
Edmonds,Washington_(state),1
Kennewick,Washington_(state),1
Kent,Washington_(state),1
Longview,Washington_(state),1
Mercer Island,Washington_(state),1
Mukilteo,Washington_(state),1
Pasco,Washington_(state),1
Redmond,Washington_(state),1
Woodinville,Washington_(state),1
Yakima,Washington_(state),1
Fayetteville,West_Virginia,3
Charleston,West_Virginia,2
Morgantown,West_Virginia,2
Bridgeport,West_Virginia,1
Martinsburg,West_Virginia,1
Milwaukee,Wisconsin,10
Eau Claire,Wisconsin,3
Hudson,Wisconsin,3
Madison,Wisconsin,3
Appleton,Wisconsin,2
Racine,Wisconsin,2
Cudahy,Wisconsin,1
Fond du Lac,Wisconsin,1
Grafton,Wisconsin,1
Hartford,Wisconsin,1
Kaukauna,Wisconsin,1
Kenosha,Wisconsin,1
La Crosse,Wisconsin,1
New Berlin,Wisconsin,1
Oconomowoc,Wisconsin,1
Oshkosh,Wisconsin,1
Rice Lake,Wisconsin,1
Saint Francis,Wisconsin,1
Sun Prairie,Wisconsin,1
Waukesha,Wisconsin,1
Waupaca,Wisconsin,1
Wausau,Wisconsin,1
West Bend,Wisconsin,1
